%eval_id interface             x1         banana       obj_fn_1       obj_fn_2 
292          NO_ID   0.5736007502    3.411821738     0.00525005     0.00525005 
293          NO_ID    2.232719477    4.653492561     -0.0709305     -0.0709305 
294          NO_ID    2.684827099    3.117386459      -0.115536      -0.115536 
295          NO_ID   -1.892969972     2.81578899       -0.13281       -0.13281 
296          NO_ID   0.4117940862     2.81578899     0.00540669     0.00540669 
297          NO_ID   0.4223631841    4.301288763     0.00543584     0.00543584 
298          NO_ID   0.4856695475    3.117386459      0.0054949      0.0054949 
299          NO_ID  -0.5754520719     2.06386327     -0.0215395     -0.0215395 
300          NO_ID -0.01249038336    3.117386459   -0.000294309   -0.000294309 
301          NO_ID   0.4117940862    2.024794304     0.00540669     0.00540669 
302          NO_ID   0.4117940862    2.113048339     0.00540669     0.00540669 
303          NO_ID   0.4223631841     2.81578899     0.00543584     0.00543584 
304          NO_ID   0.4856695475    3.411821738      0.0054949      0.0054949 
305          NO_ID   0.4856695475    3.660032518      0.0054949      0.0054949 
306          NO_ID   0.4856695475    3.986920555      0.0054949      0.0054949 
307          NO_ID   0.4223631841     2.06386327     0.00543584     0.00543584 
308          NO_ID   0.4223631841    2.950741484     0.00543584     0.00543584 
309          NO_ID   0.4856695475    2.605335761      0.0054949      0.0054949 
310          NO_ID   0.5258840446    4.301288763     0.00542985     0.00542985 
311          NO_ID    1.465190643    2.012878336     -0.0187343     -0.0187343 
312          NO_ID    1.830096952    4.353211354      -0.039885      -0.039885 
313          NO_ID   0.4223631841    3.411821738     0.00543584     0.00543584 
314          NO_ID   0.4856695475    4.126361452      0.0054949      0.0054949 
315          NO_ID   0.3423575295    2.012878336     0.00507925     0.00507925 
316          NO_ID   0.4223631841    2.024794304     0.00543584     0.00543584 
317          NO_ID   0.4223631841    3.660032518     0.00543584     0.00543584 
318          NO_ID   0.4856695475    4.301288763      0.0054949      0.0054949 
319          NO_ID    1.150452605    3.660032518    -0.00579091    -0.00579091 
320          NO_ID   0.4223631841    3.986920555     0.00543584     0.00543584 
321          NO_ID   0.4856695475    2.213168014      0.0054949      0.0054949 
322          NO_ID   0.4856695475    3.841772309      0.0054949      0.0054949 
323          NO_ID   0.4856695475    2.784758653      0.0054949      0.0054949 
324          NO_ID    2.071026975    4.126361452     -0.0574836     -0.0574836 
325          NO_ID   0.4856695475    2.641568175      0.0054949      0.0054949 
326          NO_ID    1.155401961    2.024794304    -0.00595658    -0.00595658 
327          NO_ID   0.4856695475    4.165777851      0.0054949      0.0054949 
328          NO_ID    1.219862351    4.126361452    -0.00822398    -0.00822398 
329          NO_ID  0.09532719203     3.99605465     0.00199336     0.00199336 
330          NO_ID    1.462245061    3.699993774     -0.0185904     -0.0185904 
331          NO_ID   -1.396396191    2.784758653      -0.080659      -0.080659 
332          NO_ID   0.4856695475    4.314387233      0.0054949      0.0054949 
333          NO_ID   0.2087230381    3.417496859     0.00378268     0.00378268 
334          NO_ID   0.4856695475    4.012286982      0.0054949      0.0054949 
335          NO_ID   0.4856695475    4.495615631      0.0054949      0.0054949 
336          NO_ID   0.9554789201    4.353211354   -0.000226133   -0.000226133 
337          NO_ID   -1.707902893    2.024794304      -0.111916      -0.111916 
338          NO_ID   0.4856695475    2.691836632      0.0054949      0.0054949 
339          NO_ID  -0.7912186649    2.605335761     -0.0338325     -0.0338325 
340          NO_ID   0.4856695475    3.580471524      0.0054949      0.0054949 
341          NO_ID    2.021426122    4.301288763      -0.053626      -0.053626 
342          NO_ID   0.4856695475     2.56104284      0.0054949      0.0054949 
343          NO_ID   0.4856695475    2.918272218      0.0054949      0.0054949 
344          NO_ID     2.86193194    2.641568175      -0.135856      -0.135856 
345          NO_ID   0.4856695475    2.314886758      0.0054949      0.0054949 
346          NO_ID   0.4856695475    2.947442223      0.0054949      0.0054949 
347          NO_ID   0.4856695475     2.33985588      0.0054949      0.0054949 
348          NO_ID   0.4856695475    3.658476757      0.0054949      0.0054949 
349          NO_ID     1.07259123    4.314387233    -0.00334433    -0.00334433 
350          NO_ID   0.3599491559    2.213168014     0.00518479     0.00518479 
351          NO_ID   0.4856695475    2.812260587      0.0054949      0.0054949 
352          NO_ID   0.4856695475    4.986955599      0.0054949      0.0054949 
353          NO_ID   0.4856695475    2.001901767      0.0054949      0.0054949 
354          NO_ID   0.4856695475    2.055034589      0.0054949      0.0054949 
355          NO_ID   0.4856695475    4.863485274      0.0054949      0.0054949 
356          NO_ID   -1.950036597    2.314886758      -0.139605      -0.139605 
357          NO_ID    -0.86487683    3.117386459     -0.0385571     -0.0385571 
358          NO_ID    1.039466468    4.301288763    -0.00239371    -0.00239371 
359          NO_ID    1.491325538    2.213168014     -0.0200294     -0.0200294 
360          NO_ID   -1.629313499    4.301288763      -0.103568      -0.103568 
361          NO_ID  -0.7689344789    3.417496859     -0.0324562     -0.0324562 
362          NO_ID   0.4856695475    2.830380728      0.0054949      0.0054949 
363          NO_ID   0.8121122079    2.691836632     0.00267095     0.00267095 
364          NO_ID   0.4856695475    2.984113495      0.0054949      0.0054949 
365          NO_ID   0.4856695475    4.042217557      0.0054949      0.0054949 
366          NO_ID    1.813436692    2.947442223     -0.0387737     -0.0387737 
367          NO_ID  -0.9063368523    2.691836632     -0.0413349     -0.0413349 
368          NO_ID  -0.2210056126    2.984113495    -0.00634203    -0.00634203 
369          NO_ID   0.4856695475    4.131917315      0.0054949      0.0054949 
370          NO_ID  -0.7990832812    2.984113495     -0.0343241     -0.0343241 
371          NO_ID  -0.5585714404    2.024794304     -0.0206755     -0.0206755 
372          NO_ID  0.06663244733    3.117386459     0.00144044     0.00144044 
373          NO_ID   0.4856695475    3.639426537      0.0054949      0.0054949 
374          NO_ID  0.08402003491    2.605335761     0.00178027     0.00178027 
375          NO_ID   0.4856695475    3.276064637      0.0054949      0.0054949 
376          NO_ID   0.4856695475    3.798226191      0.0054949      0.0054949 
377          NO_ID   0.4856695475     4.68807165      0.0054949      0.0054949 
378          NO_ID  -0.7964958645     2.33985588      -0.034162      -0.034162 
379          NO_ID   0.4856695475    2.045204531      0.0054949      0.0054949 
380          NO_ID   0.4856695475     3.79684592      0.0054949      0.0054949 
381          NO_ID   0.4856695475    3.884415014      0.0054949      0.0054949 
382          NO_ID    -1.14080475     2.06386327     -0.0586541     -0.0586541 
383          NO_ID  -0.9278850373    2.012878336     -0.0428124     -0.0428124 
384          NO_ID   0.4856695475     3.03961531      0.0054949      0.0054949 
385          NO_ID   0.4856695475    3.774781039      0.0054949      0.0054949 
386          NO_ID   0.4856695475    4.692102881      0.0054949      0.0054949 
387          NO_ID   0.4856695475    3.604932984      0.0054949      0.0054949 
388          NO_ID   0.4856695475    3.863617621      0.0054949      0.0054949 
389          NO_ID   0.4856695475    4.286221641      0.0054949      0.0054949 
390          NO_ID   0.4856695475    4.809817773      0.0054949      0.0054949 
391          NO_ID    1.567938995    2.984113495     -0.0240199     -0.0240199 
392          NO_ID  -0.7376602035    4.809817773     -0.0305661     -0.0305661 
393          NO_ID  0.05774443553    2.055034589     0.00126085     0.00126085 
394          NO_ID   0.4856695475     2.45843197      0.0054949      0.0054949 
395          NO_ID   0.4856695475    4.775705208      0.0054949      0.0054949 
396          NO_ID   0.7100472631     3.79684592     0.00411722     0.00411722 
397          NO_ID    2.453225848    4.653492561     -0.0913874     -0.0913874 
398          NO_ID   0.4856695475    2.102075521      0.0054949      0.0054949 
399          NO_ID   0.4856695475    2.332530206      0.0054949      0.0054949 
400          NO_ID   0.4856695475    3.298955098      0.0054949      0.0054949 
